screen_name,first,last
Isabel_Ramirezx,2018-02-23T16:38:00Z,2018-02-23T16:38:00Z
its_briannahyo,2019-07-30T16:42:00Z,2019-07-30T16:42:00Z
IvetteRios2_26,2019-07-30T21:04:00Z,2019-07-30T21:04:00Z
jagesteban,2019-08-20T23:54:00Z,2019-08-24T12:38:00Z
jas_glover1,2018-05-24T22:41:00Z,2018-05-24T22:41:00Z
jasmine_thelove,2019-07-12T18:19:00Z,2019-07-12T18:19:00Z
JasonDiG_,2019-08-15T02:05:00Z,2019-08-15T02:05:00Z
JayceBrandt,2019-08-21T10:04:00Z,2019-08-21T10:04:00Z
jbluft,2019-08-25T02:47:00Z,2019-08-25T02:47:00Z
jeffrey_poe,2018-02-21T05:14:00Z,2018-02-21T05:14:00Z
JellyJam_24,2019-07-05T06:38:00Z,2019-07-05T06:38:00Z
Jenniarzatee,2019-08-24T14:44:00Z,2019-08-25T20:50:00Z
jesmtlsd,2018-03-21T22:17:00Z,2018-03-21T22:17:00Z
JessicaLeigh001,2019-08-26T23:42:00Z,2019-08-26T23:42:00Z
jjujulangkey,2019-08-14T01:38:00Z,2019-08-18T21:21:00Z
JMAL4LIFE,2019-09-18T19:38:00Z,2019-09-18T19:38:00Z
JonGaled,2019-08-26T23:26:00Z,2019-08-26T23:26:00Z
JoplinNewsFirst,2018-01-19T21:20:00Z,2018-01-19T21:20:00Z
JPrincePhysed,2018-04-15T03:07:00Z,2018-04-15T03:07:00Z
JRuiz2444,2018-03-30T23:02:00Z,2018-03-30T23:02:00Z
JuniorMontanaa,2019-09-07T18:03:00Z,2019-09-07T18:03:00Z
JustinJmolina92,2018-04-17T19:22:00Z,2018-04-17T19:22:00Z
Karena_Carrasco,2018-01-09T02:46:00Z,2018-01-09T02:46:00Z
Karennnn_15,2017-12-21T02:19:00Z,2017-12-21T02:19:00Z
KartzFM,2019-09-19T14:07:00Z,2019-09-19T14:07:00Z
kattt98_,2018-01-12T04:54:00Z,2018-01-12T04:54:00Z
katy77539,2019-07-26T05:18:00Z,2019-07-26T05:18:00Z
kayahnuh,2019-07-14T20:14:00Z,2019-07-14T20:14:00Z
KaylaAnaleigh,2018-02-12T05:26:00Z,2018-02-12T05:26:00Z
KaylaDe96026109,2018-03-27T07:16:00Z,2018-03-27T07:16:00Z
kaylapbaker,2019-07-20T00:59:00Z,2019-07-20T00:59:00Z
kaytlovee1,2018-04-20T07:34:00Z,2018-04-20T07:34:00Z
kbreed89,2018-01-07T03:14:00Z,2018-01-07T03:14:00Z
kennedysara__,2019-09-17T16:01:00Z,2019-09-17T16:01:00Z
kevintheshort1,2018-02-26T06:40:00Z,2018-02-26T06:40:00Z
Kiiirsten_C,2018-01-28T01:56:00Z,2018-01-28T01:56:00Z
killak2104,2019-07-24T23:13:00Z,2019-07-24T23:13:00Z
Kimberly69_,2018-01-27T02:10:00Z,2018-01-27T02:10:00Z
KimVarghese,2019-08-20T14:13:00Z,2019-08-20T14:13:00Z
KingHusamE,2019-07-24T02:23:00Z,2019-07-24T02:23:00Z
Kingnickrusso,2019-07-12T00:47:00Z,2019-07-12T00:47:00Z
kitfreedom,2018-06-02T03:42:00Z,2018-06-02T03:42:00Z
kmoezz,2019-09-24T20:25:00Z,2019-09-24T20:25:00Z
krqe_headlines,2017-12-19T13:02:00Z,2017-12-19T13:02:00Z
KSBY,2018-03-02T19:00:00Z,2018-03-02T19:00:00Z
KSmith40654773,2018-06-10T12:41:00Z,2018-06-12T10:41:00Z
kswood43,2019-07-12T03:12:00Z,2019-07-12T03:12:00Z
KUNMnews,2017-12-19T17:04:00Z,2017-12-19T17:04:00Z
kyotoamatsukami,2019-07-25T02:00:00Z,2019-07-25T02:00:00Z
lainemobleyy,2019-09-23T23:59:00Z,2019-09-23T23:59:00Z
LBL_Ceedy,2019-09-07T12:04:00Z,2019-09-07T12:04:00Z
leacountydems1,2018-03-21T10:42:00Z,2018-03-21T10:42:00Z
leah_beah3,2019-08-21T00:40:00Z,2019-08-21T00:40:00Z
LegitPoonda,2018-05-15T03:53:00Z,2018-05-15T03:53:00Z
LeoTheLion_11,2018-05-21T23:04:00Z,2018-05-21T23:04:00Z
Lewis_Nathann,2019-07-21T04:35:00Z,2019-07-21T04:35:00Z
lexibaybeex3,2019-08-22T22:08:00Z,2019-08-22T22:08:00Z
LightingFlynn,2019-08-14T18:06:00Z,2019-08-14T18:06:00Z
LilahRayne,2018-05-13T00:04:00Z,2018-05-13T00:04:00Z
lillianbescher,2019-09-19T13:51:00Z,2019-09-19T13:51:00Z
littleponcho66,2018-04-18T03:42:00Z,2018-06-04T20:28:00Z
lizbeth1132,2018-03-15T03:51:00Z,2018-03-15T03:51:00Z
lizhonigmann,2018-04-05T04:47:00Z,2018-04-05T04:47:00Z
LPDJNICK,2019-08-31T04:35:00Z,2019-08-31T04:35:00Z
Lucy18879177,2018-05-12T14:14:00Z,2018-05-12T14:14:00Z
MaddyRussell13,2018-02-19T07:00:00Z,2018-02-19T07:00:00Z
MarkVSlaughter,2019-09-24T23:24:00Z,2019-09-24T23:24:00Z
martiinez_25,2017-12-12T06:51:00Z,2017-12-12T06:54:00Z
mattquinones02,2019-08-18T14:05:00Z,2019-08-18T14:05:00Z
MattyG361,2019-07-09T02:28:00Z,2019-07-09T02:28:00Z
MayraWestAf,2017-12-13T01:00:00Z,2018-04-15T05:48:00Z
McProvolone,2019-08-24T06:59:00Z,2019-08-24T06:59:00Z
mel_0630,2018-06-08T00:06:00Z,2018-06-08T00:06:00Z
MichelleLong73,2019-08-12T01:31:00Z,2019-08-12T01:31:00Z
MikeNitzel,2018-01-24T06:10:00Z,2018-01-24T06:10:00Z
mitszy_,2018-05-18T17:16:00Z,2018-05-18T17:16:00Z
mjbaxter_,2017-12-27T18:20:00Z,2017-12-27T18:20:00Z
mmbrandenburg,2019-09-06T01:46:00Z,2019-09-06T01:46:00Z
