district,fmt,alert_num,source,time_posted,author_text,site,screen_name,profile_url,locations,geodata,rmap_match,content,link
hobbs_nm,old,261367598,twitter,"Sat, Mar 17, 2018 8:55 PM",Serenity Fuller,www.twitter.com,SerenityFuller2,www.twitter.com/SerenityFuller2,Hobbs Hometown Match,"32.702610, -103.136040",Local+,@lizhonigmann @addison16807 STFU YALL ARE GONNA KILL IT,https://live.socialsentinel.com/v/pdf/-woAAA/2riw58
hobbs_nm,old,261919570,twitter,"Mon, Mar 19, 2018 3:27 PM",Manu GiGOATbili,www.twitter.com,TheNewErikT93,www.twitter.com/TheNewErikT93,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"You don't fuck with people's cars man. I don't care who you are if you fuck with my
truck I'ma shoot your car engine and radiator. And if you ain't got a car I'ma shoot you in the foot",https://live.socialsentinel.com/v/pdf/DwsAAA/2ruq1s
hobbs_nm,old,262282491,twitter,"Tue, Mar 20, 2018 3:09 PM",Steven M Schnaubert,www.twitter.com,SchnaubertM,www.twitter.com/SchnaubertM,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"@rejialex7 @realshady8kers They need to go hide in mommies basement before they
get their ass kicked,",https://live.socialsentinel.com/v/pdf/DQsAAA/2s2i2x
hobbs_nm,old,262464819,twitter,"Wed, Mar 21, 2018 4:42 AM",LCDP,www.twitter.com,leacountydems1,www.twitter.com/leacountydems1,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"Austin bomb suspect blows self up during police confrontation
https://t.co/wPXM6Mz9IM via @nbcnews",https://live.socialsentinel.com/v/pdf/DQsAAA/2s6erl
hobbs_nm,old,262652955,twitter,"Wed, Mar 21, 2018 4:17 PM",JESMTLSD,www.twitter.com,jesmtlsd,www.twitter.com/jesmtlsd,JEFFERSON ELEMENTARY,"40.440620, -79.995888",Local+,"We’re getting some plants ready for the garden! (Winter, please go away). Thank you to
the JES PTA for helping us plant this week! #leboproud of these gardeners @LetsMovePGH
https://t.co/vR01GgKaUq",https://live.socialsentinel.com/v/pdf/DwsAAA/2safxl
hobbs_nm,old,262762804,twitter,"Wed, Mar 21, 2018 10:36 PM",Bri,www.twitter.com,dollie_bri,www.twitter.com/dollie_bri,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Trying not to have a mental breakdown @tm,https://live.socialsentinel.com/v/pdf/DwsAAA/2scsoy
hobbs_nm,old,262763760,twitter,"Wed, Mar 21, 2018 10:36 PM",Bri,www.twitter.com,dollie_bri,www.twitter.com/dollie_bri,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Trying not to have a mental breakdown atm,https://live.socialsentinel.com/v/pdf/DwsAAA/2sctfi
hobbs_nm,old,262937030,twitter,"Thu, Mar 22, 2018 1:25 PM",BroadmoorSchool,www.twitter.com,BroadmoorSchool,www.twitter.com/BroadmoorSchool,BROADMOOR ELEMENTARY,"25.774269, -80.193657",Local+,"Hey students! Want to kick-off Spring Recess with a bang? Come and join us at our
STEM Fair and give the Marshmallow Shooter Challenege a try. https://t.co/Vj7cpvE8ck",https://live.socialsentinel.com/v/pdf/DQsAAA/2sgj4k
hobbs_nm,old,263163984,twitter,"Fri, Mar 23, 2018 6:10 AM",theresa,www.twitter.com,teehattt,www.twitter.com/teehattt,Hobbs Hometown Match,"32.680275, -103.201767",Local+,"@hotandhumid definitely! I’m terrified of the first time something big does but also
tired of paying my landlords mortgage haha",https://live.socialsentinel.com/v/pdf/DQsAAA/2sle8u
hobbs_nm,old,263961037,twitter,"Sun, Mar 25, 2018 3:47 PM",Mr.CripSir,www.twitter.com,RobRuiizz,www.twitter.com/RobRuiizz,Hobbs Hometown Match,"32.702610, -103.136040",Local+,just got a llama and a 217m sniper kill in the same game lol,https://live.socialsentinel.com/v/pdf/DwsAAA/2t2h97
hobbs_nm,old,264025645,twitter,"Sun, Mar 25, 2018 6:36 PM",GENESIS,www.twitter.com,cyberputa,www.twitter.com/cyberputa,Hobbs Hometown Match,"32.702610, -103.136040",Local+,Also bring a gun with you and shoot me,https://live.socialsentinel.com/v/pdf/DwsAAA/2t3v3v
hobbs_nm,old,264441802,twitter,"Tue, Mar 27, 2018 1:16 AM",Kayla Deleon,www.twitter.com,KaylaDe96026109,www.twitter.com/KaylaDe96026109,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"I do not want to sing again cause their is a lot of shooting going on right by my house
https://t.co/SjmRZaXLvd",https://live.socialsentinel.com/v/pdf/DgsAAA/2tcs7s
hobbs_nm,old,264849808,twitter,"Wed, Mar 28, 2018 8:51 AM",Scott Salisbury,www.twitter.com,chaoscomic,www.twitter.com/chaoscomic,CORONADO ELEMENTARY,"41.750381, -71.499779",Local+,"@SketchieGames @LouisUtcfp @OliverMcGee @RyanAFournier Jan. 10 Coronado
Elementary, Sierra Vista, Ariz. Student committed suicide in bathroom. No other injuries. A very
tragic event but again not a school shooting",https://live.socialsentinel.com/v/pdf/DgsAAA/2tlj1a
hobbs_nm,old,265187807,twitter,"Thu, Mar 29, 2018 5:25 AM",WOBM,www.twitter.com,wobm,www.twitter.com/wobm,MILLS ELEMENTARY,"40.167061, -74.499870",Local+,"Unknown males reportedly threaten to ""shoot up"" Clark Mills School in Manalapan:
Manalapan Police are investigating social media threats made against Clark Mills Elementary
School over the last week. Continue reading… https://t.co/96Zc1fgbrD
https://t.co/TG6l2z28NZ",https://live.socialsentinel.com/v/pdf/DwsAAA/2tsru5
hobbs_nm,old,265805195,twitter,"Fri, Mar 30, 2018 5:02 PM",Josh Ruiz,www.twitter.com,JRuiz2444,www.twitter.com/JRuiz2444,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"@jahernandez0218 @jeffrey_poe We just got a sniper dub without you. You’re the
weakest link",https://live.socialsentinel.com/v/pdf/-woAAA/2u607t
hobbs_nm,old,265837170,twitter,"Fri, Mar 30, 2018 6:56 PM",Eric Heggie,www.twitter.com,EricHeggie,www.twitter.com/EricHeggie,TAYLOR ELEMENTARY,,Local+,"There is a fire at Ludlow Taylor Elementary off 7th St NE in DC, right near Capitol Hill
and the H St Corridor https://t.co/L6kCnRDPzT",https://live.socialsentinel.com/v/pdf/-woAAA/2u6ow0
hobbs_nm,old,266184006,twitter,"Sat, Mar 31, 2018 7:33 PM",Marco,www.twitter.com,OG_Ponton,www.twitter.com/OG_Ponton,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"I’m allergic to all melons. I’m eating some cantaloupe and my tongue is gonna swell
and I’m going to die. Praise da lort.",https://live.socialsentinel.com/v/pdf/-woAAA/2ue4ic
hobbs_nm,old,267057902,twitter,"Tue, Apr 3, 2018 11:42 AM",Steve Pearce,www.twitter.com,RepStevePearce,www.twitter.com/RepStevePearce,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"Tax season is upon us once again. If you or someone you know needs help navigating
this tax season, check out my #TaxpayerToolkit with important resources to guide you through it
---> https://t.co/AornQfQsmJ https://t.co/UXdY4iC9D3",https://live.socialsentinel.com/v/pdf/DwsAAA/2uwut8
hobbs_nm,old,267643081,twitter,"Wed, Apr 4, 2018 10:47 PM",liz,www.twitter.com,lizhonigmann,www.twitter.com/lizhonigmann,Hobbs Hometown Match,"32.702610, -103.136040",Local+,STOP shooting people down when they’re happy,https://live.socialsentinel.com/v/pdf/DwsAAA/2v9ec7
hobbs_nm,old,267995357,twitter,"Thu, Apr 5, 2018 10:16 PM",Shaquille Swain,www.twitter.com,beast94,www.twitter.com/beast94,Hobbs Hometown Match,"32.680275, -103.201767",Local+,Murder is a tough thing to progress its a slow process and l ain't got nothing but time!,https://live.socialsentinel.com/v/pdf/DwsAAA/2vgy5n
hobbs_nm,old,268112474,twitter,"Fri, Apr 6, 2018 9:36 AM",Catalina,www.twitter.com,catalinaarios,www.twitter.com/catalinaarios,Hobbs Hometown Match,"32.680275, -103.201767",Local+,Y’all ever bend so stress you have a mental breakdown at school lmao fuck,https://live.socialsentinel.com/v/pdf/-woAAA/2vjgiw
hobbs_nm,old,268172204,twitter,"Fri, Apr 6, 2018 1:02 PM",Steve Pearce,www.twitter.com,RepStevePearce,www.twitter.com/RepStevePearce,Hobbs Hometown Match,"32.702610, -103.136040",Local+,"#ICYMI: It's #TaxSeason! If you or someone you know needs help navigating the filing
process, checkout my Taxpayer Toolkit here: https://t.co/AornQfQsmJ
https://t.co/uWlqF4wGtD",https://live.socialsentinel.com/v/pdf/-woAAA/2vkqm2
hobbs_nm,old,268302960,twitter,"Fri, Apr 6, 2018 8:27 PM",Barlos,www.twitter.com,ChiefRunWifBeer,www.twitter.com/ChiefRunWifBeer,Hobbs Hometown Match,"32.702610, -103.136040",Local+,3 seconds in my house and I'm taking shots already.,https://live.socialsentinel.com/v/pdf/-woAAA/2vnji6
